shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product_Goodness
727,2,15.53400,799.38428,1.08200,28.24119,708.46710,708.46710,0.36000,20.10165,1.97600,190.00000,195.10001,199.80000,205.00000,210.00000,42.20000,0.66400,0
728,2,15.49400,799.56873,1.16800,28.24119,714.58716,714.58716,0.36000,20.10165,1.97400,190.00000,195.00000,199.80000,205.00000,210.00000,42.20000,0.66200,1
729,2,15.39400,799.56873,1.20600,28.24119,713.22717,713.22717,0.36000,20.05578,1.98800,189.80000,195.10001,199.80000,205.00000,210.00000,42.20000,0.66400,0
730,2,15.55600,799.38428,1.08800,28.24119,707.30139,707.30139,0.36000,20.03030,1.98200,190.00000,194.80000,199.80000,205.00000,210.00000,42.20000,0.66600,0
731,2,15.53400,799.19983,0.94600,28.24119,704.09564,704.09564,0.36000,20.12204,1.98800,189.80000,194.80000,199.80000,205.00000,210.00000,42.20000,0.66600,0
732,2,15.49400,799.19983,0.87600,28.24119,712.64429,712.64429,0.36000,20.11695,1.97800,190.00000,194.80000,200.00000,205.00000,209.80000,42.40000,0.66200,1
733,2,15.39600,799.38428,1.34000,28.24119,711.47858,711.47858,0.36000,20.10675,1.97200,190.00000,194.80000,199.80000,205.00000,210.00000,42.50000,0.66600,0
734,2,15.55600,799.38428,0.91400,28.24119,713.51855,713.51855,0.36000,20.11185,1.97800,189.80000,194.80000,200.00000,205.00000,210.00000,42.50000,0.66600,0
735,2,15.53400,799.38428,1.28000,28.24119,705.74713,705.74713,0.36000,20.11695,1.97600,190.10001,194.80000,200.00000,205.00000,210.00000,42.50000,0.66400,1
736,2,15.49400,799.19983,1.02200,28.24119,707.49567,707.49567,0.36000,20.10165,1.98200,190.10001,194.80000,199.80000,205.00000,209.80000,42.50000,0.66400,0
737,2,15.39600,799.01538,0.89800,28.24119,703.22137,703.22137,0.36000,20.10675,1.96600,190.00000,194.60001,199.80000,204.80000,209.80000,42.50000,0.66400,0
738,2,15.55600,799.38428,1.17000,28.24119,709.14709,709.14709,0.36000,20.12204,1.96400,190.00000,195.00000,199.80000,204.80000,209.80000,42.50000,0.66200,0
739,2,15.53400,799.38428,0.97600,28.24119,707.30139,707.30139,0.36000,20.12204,1.97000,189.80000,195.00000,200.00000,204.80000,209.80000,42.70000,0.66400,1
740,2,15.49400,799.19983,0.97400,28.24119,703.41565,703.41565,0.36000,20.05069,1.98000,189.60001,194.80000,199.80000,205.00000,209.80000,42.70000,0.66400,0
741,2,15.39600,799.19983,0.89000,28.24119,705.55280,705.55280,0.36000,20.05069,1.98600,189.60001,194.80000,199.80000,205.00000,209.80000,42.70000,0.66400,1
742,2,15.55600,799.19983,0.97800,28.24119,708.95282,708.95282,0.36000,20.12204,1.96400,189.60001,195.00000,200.00000,205.00000,209.80000,42.90000,0.66400,1
743,2,15.53400,799.01538,0.95000,28.24119,705.45569,705.45569,0.36000,20.06598,1.96600,189.80000,195.10001,200.00000,205.00000,209.80000,43.00000,0.66400,0
744,2,15.49400,799.19983,1.07000,28.24119,713.61572,713.61572,0.36000,20.11695,1.97800,190.00000,195.30000,200.10001,205.00000,210.00000,43.00000,0.66800,1
745,2,15.39600,799.19983,1.55200,28.24119,705.26141,705.26141,0.36000,20.10675,1.97000,190.00000,195.60001,200.10001,205.00000,209.80000,43.20000,0.66600,1
746,2,15.55600,799.19983,0.84400,28.24119,714.39288,714.39288,0.36000,20.05578,1.96800,190.10001,195.60001,200.10001,205.00000,209.80000,43.20000,0.66200,1
747,2,15.53400,799.38428,0.97800,28.24119,709.82715,709.82715,0.36000,20.08127,1.98400,190.10001,195.50000,200.00000,205.00000,209.80000,43.20000,0.66400,0
748,2,15.49400,799.19983,0.94200,28.24119,703.70709,703.70709,0.36000,20.08636,1.98400,190.10001,195.50000,200.10001,205.00000,209.80000,43.20000,0.66000,0
749,2,15.39600,799.19983,0.86800,28.24119,708.27283,708.27283,0.36000,20.09656,1.97400,190.10001,195.30000,200.00000,205.00000,209.80000,43.20000,0.66600,0
750,2,15.55600,799.19983,0.88000,28.24119,715.36432,715.36432,0.36000,20.08636,1.97200,190.00000,195.10001,199.80000,205.00000,209.80000,43.40000,0.66400,0
751,2,15.53400,799.38428,1.28200,28.24119,712.74146,712.74146,0.36000,20.09146,1.97800,190.00000,195.10001,199.80000,205.00000,209.80000,43.40000,0.66600,1
752,2,15.49600,799.38428,1.05200,28.24119,707.88428,707.88428,0.36000,20.11185,1.96400,190.10001,195.10001,199.80000,204.80000,209.80000,43.40000,0.66600,1
753,2,15.39600,799.38428,0.93400,28.24119,710.31287,710.31287,0.36000,20.13224,1.97800,190.10001,195.10001,199.60001,204.80000,209.80000,43.40000,0.66200,1
754,2,15.55400,799.19983,1.26400,28.24119,706.91284,706.91284,0.36000,20.04049,1.98400,190.10001,195.00000,199.80000,204.80000,209.80000,43.50000,0.66200,0
755,2,15.53400,799.01538,1.04800,28.24119,705.74713,705.74713,0.36000,20.12204,1.99200,190.10001,195.00000,199.80000,204.80000,209.80000,43.50000,0.66200,1
756,2,15.49400,799.19983,1.02000,28.24119,708.46710,708.46710,0.36000,20.07617,1.99600,190.10001,195.00000,199.80000,205.00000,210.00000,43.50000,0.66400,0
757,2,15.39600,799.01538,1.13400,28.24119,704.96997,704.96997,0.36000,20.07617,1.98000,190.30000,195.00000,200.00000,205.00000,210.00000,43.50000,0.66400,0
758,2,15.55600,799.19983,0.95600,28.24119,714.97571,714.97571,0.36000,20.11185,1.98600,190.10001,194.80000,200.10001,205.00000,210.00000,43.70000,0.66200,0
759,2,15.53400,799.19983,0.93200,28.24119,710.99286,710.99286,0.36000,20.07617,1.98800,189.80000,194.60001,200.00000,205.00000,209.80000,43.50000,0.66200,1
760,2,15.49400,799.01538,0.84600,28.24119,704.87280,704.87280,0.36000,20.11695,1.97400,189.80000,195.00000,199.80000,205.00000,209.80000,43.70000,0.66600,0
761,2,15.39600,799.19983,1.05200,28.24119,711.18713,711.18713,0.36000,20.16282,1.98400,189.80000,195.10001,200.00000,205.00000,209.80000,43.70000,0.66200,1
762,2,15.55600,799.01538,1.02800,28.24119,702.83282,702.83282,0.36000,20.12204,1.96000,189.80000,195.10001,199.80000,205.00000,209.80000,43.70000,0.66600,1
763,2,15.53400,799.19983,0.93000,28.24119,717.11292,717.11292,0.36000,20.12204,1.97000,189.80000,195.10001,199.80000,204.80000,209.80000,43.70000,0.66400,1
764,2,15.49400,799.38428,1.09400,28.24119,708.46710,708.46710,0.36000,20.11185,1.96600,189.80000,195.10001,199.80000,204.80000,209.80000,43.90000,0.66400,1
765,2,15.39600,799.56873,0.96000,28.24119,710.99286,710.99286,0.36000,20.14753,1.97200,190.00000,195.00000,199.80000,204.80000,209.80000,43.90000,0.66600,1
766,2,15.55400,799.19983,0.88400,28.24119,708.85571,708.85571,0.36000,20.10675,1.98000,190.00000,195.00000,200.00000,205.00000,210.00000,44.00000,0.66600,0
767,2,15.53400,799.01538,0.88600,28.24119,715.07288,714.87860,0.36000,20.16282,1.98800,190.00000,194.80000,200.00000,205.00000,209.80000,44.00000,0.66400,0
768,2,15.49400,799.19983,0.88400,28.24119,710.21570,710.21570,0.36000,20.09146,1.97400,190.10001,194.80000,199.80000,205.00000,210.00000,44.20000,0.66600,0
769,2,15.39600,799.19983,0.98800,28.24119,709.14709,709.14709,0.36000,20.10165,1.98600,190.10001,195.00000,199.80000,205.00000,210.00000,44.20000,0.66000,0
770,2,15.55600,799.19983,1.29800,28.24119,714.87860,714.78143,0.36000,20.12714,1.98200,190.10001,195.00000,199.80000,205.00000,210.00000,44.20000,0.66600,0
771,2,15.53400,799.19983,0.89600,28.24119,697.00421,697.00421,0.36000,20.09146,1.97400,190.10001,194.60001,199.80000,205.00000,210.00000,44.20000,0.66600,0
772,2,15.49400,799.19983,0.89400,28.24119,706.42712,706.42712,0.36000,20.09146,1.98400,190.00000,194.60001,199.80000,205.00000,209.80000,44.20000,0.66800,0
773,2,15.39600,799.19983,1.00000,28.24119,708.66138,708.66138,0.36000,20.08636,1.96800,189.80000,194.80000,199.80000,205.00000,210.00000,44.20000,0.66400,0
774,2,15.55800,799.19983,1.27800,28.24119,716.91858,716.91858,0.36000,20.09656,1.99600,189.80000,195.00000,200.10001,205.00000,210.00000,44.20000,0.66400,0
775,2,15.53400,799.19983,0.92800,28.24119,717.40430,717.40430,0.36000,20.11695,1.99200,189.80000,195.00000,200.00000,205.00000,210.00000,44.40000,0.66200,0
776,2,15.49400,799.38428,1.28800,28.24119,711.86713,711.67285,0.36000,20.10675,1.98200,189.80000,195.10001,200.00000,205.00000,210.00000,44.20000,0.66400,0
777,2,15.39600,799.01538,0.88400,28.24119,713.71289,713.71289,0.36000,20.11185,1.98000,190.00000,195.30000,200.00000,205.00000,209.80000,44.40000,0.66200,0
